user_id,book_id
2,1371
3,10
7,10
10,6
10,662
12,1
20,7628
26,3412
26,3586
29,424
29,662
30,67
30,1381
30,5907
33,3300
34,3109
39,93
39,353
39,386
39,400
39,1420
46,119
47,8957
54,2368
54,7770
55,291
58,3885
60,3412
61,3
65,122
67,348
67,355
67,1381
67,1824
67,1911
67,3008
67,3805
69,4473
71,3590
75,1005
82,98
94,10
107,2137
111,6753
111,9998
120,2187
124,5
124,446
124,662
130,378
133,25
133,355
134,378
134,668
136,6750
142,119
143,5
143,122
150,400
150,1005
150,3590
156,1371
159,29
159,353
160,93
160,5161
162,67
162,3586
162,5693
165,599
165,760
166,348
174,8676
187,378
187,3985
189,703
191,5
191,6
191,378
191,3464
192,1
192,662
192,8698
194,360
194,378
194,1624
194,3590
196,6
198,6753
199,4671
202,1
204,4395
205,10
205,1624
207,25
211,475
216,6
216,3559
217,3028
219,5084
222,291
225,348
225,2371
225,4407
228,1519
239,24
239,25
239,29
239,621
239,1524
240,6
240,952
241,3102
241,9820
242,28
244,1
245,291
246,662
246,1078
246,1519
250,320
253,1
256,122
260,67
260,378
260,1005
262,1911
263,4031
265,5
270,424
271,1990
272,360
275,5
275,29
275,122
277,446
278,386
280,119
282,119
283,67
283,98
283,304
285,119
285,365
288,3412
290,360
290,400
290,456
291,1953
292,3102
292,9013
292,9594
294,1431
301,1381
305,1005
309,386
309,3590
309,5954
316,5180
318,10
318,67
318,4031
323,1618
326,67
326,2175
326,3590
327,5161
331,629
333,6
333,5470
335,67
340,3586
341,1362
342,4865
344,1371
346,320
348,24
348,1524
350,1
350,24
359,5368
359,8914
360,668
360,6753
362,424
366,67
371,1519
371,1848
372,119
372,4473
373,5
373,2978
374,3559
374,4473
375,67
378,6820
384,6
384,6538
388,304
388,320
390,119
390,291
390,4407
392,320
392,378
392,5349
393,119
393,378
393,424
393,1371
393,9864
394,1005
394,1911
397,3478
397,5180
397,5191
403,67
405,3559
405,6194
417,320
417,378
419,2175
421,320
422,122
423,119
423,424
423,1078
433,2784
435,5
435,10
435,119
438,1191
438,2187
440,424
440,3757
442,29
442,122
442,3711
442,8914
445,5
445,93
445,119
445,304
447,98
448,10
450,67
450,378
450,428
450,827
450,830
450,3061
451,10
451,355
454,4983
454,5191
455,7779
457,2
457,5
457,10
457,21
457,24
457,28
457,5297
459,2187
459,6952
462,6
462,400
462,5890
464,6572
469,67
469,378
469,5191
471,1427
471,5890
472,5787
474,1381
474,1524
478,1
484,365
490,6750
494,7603
496,2159
497,7579
504,378
506,343
506,350
506,456
507,2175
509,1241
511,1
511,378
511,662
512,28
512,98
517,1191
525,1
525,67
525,360
525,1371
525,3464
527,1
527,3109
527,6820
527,6862
531,4671
539,4671
540,365
552,1
554,67
554,1519
555,67
556,67
556,456
558,378
558,1381
559,67
564,3381
565,668
568,67
568,3379
573,10
573,304
573,8957
575,5346
577,7062
581,2
581,21
581,24
581,25
581,2373
581,5548
582,2
585,67
589,4633
590,3
590,25
590,952
591,2175
591,3590
594,28
594,4983
594,5346
596,1420
598,2175
598,8682
600,475
601,3985
605,3985
608,119
608,1005
612,5180
612,8957
612,9864
614,122
614,378
614,1005
615,1381
615,9013
618,6
618,119
618,360
618,400
618,7604
620,668
620,1371
620,4395
621,291
621,1897
622,6419
622,7579
623,1381
623,7672
625,1381
625,1622
632,3
633,662
633,4865
633,5191
634,28
634,4507
635,378
635,4671
636,3586
637,378
638,4887
640,1381
640,4407
643,6
644,1
644,3805
646,10
649,6
650,7190
651,706
654,98
654,378
654,9864
655,291
655,827
656,25
656,291
657,3590
660,3388
662,4538
663,378
668,122
669,6870
670,6
670,320
672,29
672,424
672,5479
673,122
673,1067
673,1232
673,1627
673,1633
675,119
675,378
677,119
684,1524
684,4473
686,668
686,1202
686,4631
690,2517
692,1519
692,1524
693,1381
696,5348
697,67
700,348
705,1381
706,1005
708,3388
708,3590
717,122
718,400
718,3388
722,668
722,1911
722,7673
725,67
725,348
725,2137
725,5350
733,5161
734,4631
742,67
742,7770
742,9833
743,7604
747,446
748,25
748,67
751,1430
754,1
754,320
754,3028
754,6328
755,119
755,122
756,621
756,1381
757,3300
761,1371
765,3590
768,5
768,10
770,355
774,2371
778,5161
779,25
783,67
783,3466
785,400
786,6
786,67
787,2137
794,348
794,5479
795,9013
798,2
804,1848
808,400
811,4983
815,5
821,67
821,5084
821,5479
821,6328
821,9013
823,93
826,1
826,2371
826,4981
838,6
838,304
838,2175
839,456
839,3586
839,5084
843,348
846,6862
847,668
848,67
849,320
851,122
851,291
851,304
853,424
854,5
854,400
862,360
865,4473
867,28
869,4395
870,706
870,1519
872,10
873,378
875,348
877,7673
881,320
881,4950
882,350
882,2187
884,424
886,348
886,5161
887,67
888,662
892,3
892,5
892,10
897,3586
899,2175
900,378
900,3464
901,4473
902,10
902,668
902,7199
902,7770
905,67
910,621
912,67
912,98
919,3805
922,5161
924,2175
924,3885
927,10
927,1990
927,2049
927,5348
928,456
937,122
938,2137
939,629
941,9799
943,93
945,28
945,29
949,291
950,8088
952,4633
955,3586
956,6
959,348
960,6
960,67
960,5182
961,5326
966,360
966,1519
967,662
968,10
970,4395
970,8698
971,5161
972,6
972,10
972,8073
972,9854
975,355
984,8957
987,378
988,5368
988,6288
989,67
991,1381
993,291
995,1371
1004,6
1005,668
1007,4981
1012,6
1012,2371
1013,7714
1015,667
1015,3586
1017,4631
1022,424
1025,10
1025,320
1025,343
1029,119
1031,348
1036,28
1038,5191
1041,6
1043,1
1043,67
1043,348
1044,5693
1047,400
1047,2175
1047,5093
1047,9298
1051,119
1051,902
1051,2203
1056,119
1062,67
1062,348
1065,21
1065,24
1065,25
1065,7672
1066,122
1066,3985
1067,1241
1067,3805
1068,6
1071,668
1071,1990
1071,5161
1074,98
1076,3985
1080,3836
1082,6
1082,348
1082,1202
1083,1990
1087,98
1088,1202
1090,28
1093,760
1095,67
1096,2517
1098,320
1098,348
1098,668
1100,360
1100,400
1100,2978
1101,7199
1103,475
1103,5368
1104,446
1104,5349
1105,1524
1107,3973
1108,378
1108,4137
1109,6
1111,10
1116,67
1116,98
1116,840
1118,320
1119,400
1119,2517
1120,5509
1122,10
1122,350
1124,1381
1125,6
1125,378
1125,4137
1126,320
1130,668
1130,1524
1130,3885
1133,348
1133,668
1135,3412
1138,400
1138,2187
1140,3711
1141,668
1141,1005
1141,5084
1145,4796
1147,21
1147,24
1147,25
1148,3836
1149,5
1149,5326
1150,119
1150,400
1154,25
1158,291
1161,3985
1168,2
1168,5
1170,386
1172,629
1173,119
1176,67
1183,1191
1183,3109
1184,6
1184,8492
1187,291
1187,5350
1187,5368
1189,3590
1191,1431
1193,667
1194,6
1197,93
1200,3679
1205,1
1205,67
1205,2049
1210,629
1214,67
1214,830
1216,5084
1218,10
1218,456
1218,890
1218,1078
1224,1524
1226,291
1227,400
1227,5326
1227,7604
1230,119
1233,668
1238,5
1238,6
1238,29
1238,378
1238,2175
1238,7673
1242,291
1245,5350
1247,2371
1249,475
1249,1824
1253,291
1253,2137
1253,3412
1257,5
1257,28
1257,119
1257,122
1257,365
1257,378
1258,1420
1262,378
1262,4687
1263,5
1266,291
1267,291
1267,348
1267,1990
1267,5368
1270,67
1274,67
1277,3466
1279,5553
1279,6753
1282,4950
1282,9854
1292,67
1293,67
1294,67
1295,8957
1302,6
1303,386
1310,6
1310,428
1310,7628
1312,3559
1315,6
1316,3388
1318,1427
1320,424
1322,2137
1322,5553
1327,1381
1330,3586
1332,668
1334,67
1337,67
1338,1427
1338,1911
1339,2371
1344,320
1344,1005
1346,5
1346,119
1346,424
1346,1005
1348,348
1348,662
1348,1371
1352,1426
1356,1430
1358,67
1359,8698
1362,5759
1363,3446
1363,9594
1364,3559
1367,4934
1372,4395
1376,119
1376,424
1376,3028
1376,8957
1378,67
1378,291
1378,1990
1378,4381
1381,320
1383,6
1385,1911
1385,5296
1391,119
1394,291
1394,668
1394,3885
1394,7199
1395,67
1395,320
1395,348
1395,2175
1400,3
1400,4887
1400,6194
1403,122
1416,119
1419,428
1423,6
1424,668
1424,1990
1426,647
1429,67
1430,10
1431,67
1433,320
1436,348
1436,1524
1436,3466
1436,4381
1436,8698
1439,3
1439,67
1439,98
1439,291
1439,1934
1439,4473
1442,1
1443,29
1450,25
1450,4986
1453,5
1453,378
1455,98
1459,5326
1461,1191
1461,1898
1461,5179
1463,1934
1464,67
1464,760
1464,1362
1465,662
1467,122
1468,6194
1469,1519
1470,1
1470,28
1470,865
1470,4820
1470,4989
1470,5297
1471,304
1472,5084
1474,122
1477,291
1479,291
1483,291
1484,662
1484,5161
1486,1371
1487,424
1487,4645
1492,24
1492,8698
1492,9791
1493,5
1495,1622
1495,6750
1496,119
1497,67
1497,291
1501,119
1501,348
1504,1622
1504,5349
1507,386
1512,5182
1513,865
1514,2187
1514,4137
1516,1624
1519,760
1519,1519
1521,3300
1531,5349
1536,378
1536,4671
1538,291
1545,119
1546,10
1546,93
1549,67
1551,67
1551,1078
1553,8676
1558,6
1558,304
1566,5161
1567,1426
1572,8676
1575,378
1575,5296
1576,7733
1577,703
1577,6194
1579,119
1579,4687
1582,5
1582,10
1582,3291
1584,67
1584,1005
1588,4631
1591,1430
1593,5368
1597,360
1597,5182
1598,378
1598,1633
1599,7214
1602,3757
1602,5296
1603,2175
1603,2784
1606,3
1606,6
1606,348
1607,353
1607,424
1608,119
1609,98
1616,119
1618,6
1618,348
1625,119
1625,365
1625,2095
1628,320
1629,9799
1635,360
1635,2187
1635,2373
1638,7073
1640,291
1640,378
1640,1005
1641,7493
1644,378
1645,119
1645,320
1646,348
1646,7670
1650,10
1650,122
1650,343
1650,1618
1652,1005
1652,3464
1655,6
1655,6328
1655,9833
1659,6
1659,1624
1662,320
1662,350
1666,4031
1668,2094
1674,7603
1678,1381
1679,8957
1681,4538
1682,400
1686,400
1686,7604
1689,67
1689,378
1689,4633
1694,1005
1697,6
1698,424
1700,122
1701,5191
1701,6750
1702,3109
1703,2137
1703,8698
1705,7628
1708,24
1708,456
1708,703
1708,1005
1712,1
1712,98
1712,7604
1714,67
1718,3711
1719,67
1722,3028
1726,5
1726,28
1726,629
1729,3381
1729,9833
1730,2517
1730,6687
1732,378
1732,2784
1732,3109
1736,98
1736,3388
1736,4473
1737,67
1737,629
1737,1005
1738,67
1738,1869
1740,6870
1743,122
1748,8676
1751,4981
1757,1842
1764,304
1764,668
1764,1848
1764,3590
1767,5128
1779,2094
1779,5182
1780,348
1780,3559
1781,2517
1783,3
1783,475
1799,424
1803,1381
1807,119
1811,67
1814,1
1823,119
1826,6
1827,1524
1827,5180
1829,21
1829,24
1829,25
1829,122
1829,3985
1834,5
1835,119
1835,400
1835,1519
1839,98
1839,350
1839,360
1839,1032
1839,3711
1840,378
1840,1005
1844,122
1847,1953
1848,3885
1850,760
1851,3
1855,2
1857,5787
1857,9516
1860,24
1860,119
1864,360
1873,10
1873,67
1874,119
1874,1633
1874,7728
1877,360
1881,355
1881,360
1882,5
1891,291
1892,378
1895,9784
1896,5296
1896,8698
1898,2
1898,21
1898,24
1898,760
1901,122
1903,8088
1908,5571
1913,122
1914,2371
1914,6422
1916,1898
1917,3388
1918,1519
1918,9833
1919,1
1919,9833
1921,4708
1926,25
1928,355
1928,2932
1928,5345
1933,10
1933,122
1934,320
1935,5
1940,28
1943,1990
1943,4796
1946,668
1946,9791
1950,291
1950,4983
1951,629
1953,2
1955,28
1957,10
1958,355
1959,3466
1963,3466
1964,4633
1964,7785
1965,3985
1967,4981
1968,360
1974,378
1974,1625
1984,840
1984,1633
1984,1911
1985,7779
1987,4473
1987,5553
1987,6867
1988,304
1988,6870
1990,1848
1993,355
1993,4645
1993,7714
1994,320
2002,67
2004,119
2004,5907
2005,98
2006,67
2007,1911
2009,827
2009,2932
2016,119
2019,4983
2020,304
2020,400
2024,304
2027,4950
2030,28
2030,446
2033,1371
2033,3381
2033,5439
2036,67
2038,1005
2040,668
2040,1990
2040,2175
2040,5349
2047,4538
2051,1
2052,1
2052,291
2052,5161
2053,5346
2053,6867
2053,8492
2064,5346
2065,122
2065,7493
2066,6
2070,67
2070,4138
2073,5296
2080,3985
2082,1005
2084,424
2087,4983
2088,304
2088,360
2095,424
2097,355
2098,3586
2098,4865
2104,10
2109,291
2110,1633
2116,1953
2117,119
2117,122
2117,647
2121,348
2121,1371
2123,360
2123,424
2130,122
2130,7493
2131,122
2132,291
2133,304
2135,320
2135,3805
2140,5544
2142,3885
2144,5182
2151,28
2151,1618
2151,6288
2152,5368
2153,6
2155,662
2157,291
2157,320
2157,706
2157,9833
2158,1
2160,1
2160,9516
2162,5
2162,122
2162,9833
2163,1005
2167,668
2177,5296
2179,1869
2179,5191
2180,5
2180,21
2184,2
2187,119
2189,4538
2190,348
2190,400
2190,5346
2191,3388
2192,2187
2193,2137
2193,5787
2194,291
2197,5
2198,5326
2199,6753
2206,6
2206,668
2206,4900
2211,6
2211,5062
2211,6900
2217,3711
2218,424
2223,6295
2227,93
2227,1624
2236,424
2240,2
2240,21
2240,24
2240,4835
2246,3985
2246,5084
2247,10
2254,1624
2254,3590
2257,662
2257,1633
2260,3388
2262,291
2263,2
2263,6
2263,21
2263,24
2263,25
2263,67
2263,4796
2263,7332
2266,4407
2266,5526
2267,656
2267,662
2267,952
2267,2371
2273,1519
2277,5
2277,122
2277,304
2277,1519
2284,360
2284,378
2284,400
2285,1381
2286,6
2290,4538
2296,28
2296,4645
2296,4934
2299,1990
2303,5954
2307,93
2307,621
2307,662
2307,668
2307,2175
2307,5349
2313,291
2313,3973
2316,304
2316,7628
